Durchgang;Bubblesort Zeit;Insertionsort Zeit;Mergesort Zeit;Quicksort Zeit;Selectionsort Zeit;Simplesort Zeit;
1;0,955304;1,619981;1,319415;1,625703;1,328451;1,448014;
2;0,001205;9,03E-4;0,008433;0,001204;9,04E-4;9,03E-4;
3;9,03E-4;0,001506;0,001807;0,001205;9,03E-4;6,03E-4;
4;0,003313;0,006023;0,004819;0,003313;0,003313;0,001506;
5;0,001205;0,001204;0,002711;0,001807;0,001506;0,028611;
6;0,003012;0,003313;0,007529;0,003915;0,003011;0,002711;
7;0,003916;0,003614;0,00783;0,005722;0,003915;0,002711;
8;0,001506;0,001505;0,003915;0,002409;0,001807;0,001205;
9;0,001807;0,001506;0,004518;0,00271;0,002109;0,001505;
10;0,002108;0,002409;0,004819;0,003012;0,002409;0,001807;
11;0,002409;0,002409;0,00512;0,003012;0,002108;0,001807;
12;0,006325;0,006927;0,013552;0,00783;0,006023;0,00512;
13;0,006926;0,006927;0,014758;0,008432;0,006324;0,005421;
14;0,006325;0,006927;0,013853;0,008132;0,006324;0,005723;
15;0,006927;0,006626;0,014456;0,009035;0,006324;0,005723;
16;0,009638;0,010842;0,01807;0,01024;0,008131;0,008132;
17;0,009637;0,008734;0,019275;0,010842;0,008433;0,00783;
18;0,010541;0,01024;0,020479;0,011144;0,008734;0,009035;
19;0,009035;0,028611;0,017468;0,009336;0,007529;0,007529;
20;0,010842;0,010541;0,026804;0,010842;0,008734;0,009035;
21;0,024695;0,015661;0,007529;0,013251;0,012649;0,015059;
22;0,003313;0,017166;0,007228;0,015359;0,002711;0,00271;
23;0,003614;0,014757;0,00753;0,014155;0,00271;0,003313;
24;0,003915;0,016865;0,007831;0,015962;0,00271;0,003012;
25;0,003614;0,016865;0,008131;0,015059;0,00271;0,003312;
26;0,004217;0,019275;0,008734;0,018973;0,003012;0,003313;
27;0,004518;0,001807;0,008734;0,017166;0,003313;0,003614;
28;0,004216;0,002109;0,009035;0,003915;0,003313;0,003915;
29;0,00512;0,002108;0,008734;0,003313;0,003313;0,004216;
30;0,004819;0,001807;0,009035;0,003916;0,003614;0,004517;
31;0,005421;0,002108;0,009337;0,004216;0,003614;0,027707;
32;0,006927;0,002409;0,009939;0,004517;0,003915;0,005421;
33;0,006023;0,002108;0,010239;0,003916;0,004216;0,007228;
34;0,005722;0,002108;0,010541;0,004216;0,004216;0,005119;
35;0,006324;0,002711;0,010842;0,004517;0,004216;0,005421;
36;0,006324;0,002711;0,010541;0,004517;0,004518;0,005722;
37;0,02831;0,003012;0,014757;0,00512;0,004819;0,006023;
38;0,006626;0,002409;0,011746;0,004818;0,004818;0,005722;
39;0,007228;0,003012;0,021081;0,00512;0,004819;0,006626;
40;0,007228;0,003011;0,040658;0,005421;0,00512;0,006325;
41;0,008131;0,003012;0,006927;0,005421;0,005722;0,007228;
42;0,008433;0,003313;0,007529;0,005722;0,005421;0,031924;
43;0,008433;0,00271;0,007228;0,00512;0,005421;0,008131;
44;0,009035;0,003313;0,007228;0,005421;0,029515;0,008432;
45;0,009938;0,003614;0,007529;0,005421;0,006324;0,008734;
46;0,005421;0,002108;0,004517;0,003313;0,003614;0,006325;
47;0,006324;0,002108;0,00512;0,003313;0,003915;0,00512;
48;0,005421;0,002409;0,004518;0,003313;0,003614;0,004818;
49;0,006626;0,003012;0,004216;0,003313;0,003614;0,006927;
50;0,011445;0,004216;0,008433;0,006023;0,007228;0,009637;
51;0,011445;0,003915;0,008132;0,006325;0,007228;0,010541;
52;0,012348;0,004517;0,008433;0,006024;0,007529;0,011444;
53;0,012348;0,004518;0,008432;0,006927;0,007831;0,010842;
54;0,011444;0,003916;0,008733;0,006625;0,008132;0,011143;
55;0,012649;0,004518;0,008432;0,006325;0,00783;0,011745;
56;0,012951;0,004517;0,009035;0,006626;0,009035;0,011746;
57;0,013251;0,004216;0,009035;0,006625;0,008433;0,012649;
58;0,013553;0,004818;0,009035;0,006625;0,008733;0,013252;
59;0,013251;0,004819;0,009637;0,006927;0,008433;0,013252;
60;0,014155;0,004819;0,009336;0,007228;0,008734;0,014456;
61;0,014456;0,004819;0,010842;0,007228;0,009336;0,014456;
62;0,015962;0,005421;0,010239;0,008132;0,009336;0,01536;
63;0,015058;0,004819;0,009939;0,00783;0,009939;0,013853;
